Run	Description	Time				Target	Brho [Tm]				F1 slit [mm]				F2 up slit [mm]				F2 down slit [mm]				F3 up slit [mm]				F3 down slit [mm]				
195	Recompile	2024.06.25	13:21:00	13:25:00	0:04:00		1.5787	1.5683	1.5605		190	190	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
196	Recompile	2024.06.25	13:28:00																												
197	same option 	2024.06.25	13:43:00	13:51:00	0:08:00		1.5787	1.5683	1.5605																						
198	Brho tune to check 40Ar 13+	2024.06.25					1.5787	1.0136	0.8952																						
199	Brho tune to check 40Ar 13+	2024.06.25																													
200		2024.06.25	14:27:00	14:32:00	0:05:00		1.5787	1.019	0.9022																						
201																															
202																															
203																															
204																															
205																															
206																															
	Missing																														
227	N=Z  line setup (10B)	2024.06.26	12:09:00				1.32	1.32	1.2835		4	0	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
233		2024.06.26	13:34:00																												
239	GOOD run with Phosper	2024.06.26	14:19:00	14:40:00	0:21:00		1.3254	1.3254	1.3089		4	0	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
240	Slit open little bit more	2024.06.26	14:44:00				1.3254	1.3254	1.3089		5	1	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
244		2024.06.26	15:58				1.3254																								
245	good run after Plastic tune	2024.06.26	16:																												
																															
257		2024.06.26	10:10:00				2.9289	2.9289	2.9289		22	18	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
																															
290		2024.06.28	12:3				1.3254	1.3254	1.3089		5	1	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
																															
294	Monday run start/ Phosphor run	2024.07.01	13:				1.3254	1.3254	1.3089		5	1	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
295	F2SSD in	2024.07.01	13:26	13:30:00	0:04:00		1.3254	1.3254	1.2893		5	1	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
297	GOOD RUN -F2 SSD & Phospher	2024.07.01	13:34:00	13:37:00	0:03:00		1.3254	1.3254	1.2893		5	1	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
298	GOOD run with 1mm Graphite target	2024.07.01		13:52:00			1.3254	1.3254	1.2893		5	1	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
299	GOOD run with 0.5 mm graphite target	2024.07.01																													
300	GOOD run with 0.5 mm graphite target	2024.07.01									8	4	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
301	GOOD run with 0.5 mm graphite target	2024.07.01	14:04:00				1.3254	1.3254	1.2893		8	4	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
302	(10B) 0.1 mm target/ Too high trigger rate	2024.07.01	14:09:00				1.3254	1.3254	1.2893		8	4	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
303	GOOD run with 0.1 mm graphite target	2024.07.01	14:19:00				1.3254	1.3254	1.2893		22	18	85	85																	
304	GOOD run with 0.1 mm graphite target	2024.07.01					1.3254	1.3254	1.2893		22	18	85	85																	
305	GOOD run with 0.1 mm graphite target	2024.07.01	14:27:00				1.3254	1.3254	1.2893		22	18	85	85																	
																															
307	D2 Brho change	2024.07.01					1.3254	1.291	1.2528																						
																															
309	d/r tune	2024.07.01	14:55:00				1.3254	1.291	1.2528	0.07	20	16	85	85																	
																															
311	40AR F1 position find																														
																															
323	Calibration run	2024.07.01	16:31:00	16:35:00	0:04:00		1.3254	1.3254	1.3019	0	7	3	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
324	Calibration run	2024.07.01	16:36:00	16:37:00	0:01:00		1.3254	1.3254	1.3019	0	7	3	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
325	Calibration run	2024.07.01	16:40:00	16:49:00	0:09:00		1.3254	1.3254	1.3019	0	7	3	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
326	Calibration run	2024.07.01	16:53:00	16:58:00	0:05:00		1.3254	1.3254	1.3019	0	7	3	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
327	Calibration run	2024.07.01	16:53:00	16:58:00	0:05:00		1.3254	1.3254	1.3019	0	7	3	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
328	Brho = 1.1 	2024.07.01	17:07:00	17:07:00	0:00:00		1.1	1.1	1.0615	0																					
329	Brho = 1.1 	2024.07.01	17:10:00	17:12:00	0:02:00		1.1	1.1	1.0615	0																					
330	Brho = 1.1 / MSCF gain change	2024.07.01	17:13:00	17:19:00	0:06:00		1.1	1.1	1.0615	0	7	3	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
331	Calibration run	2024.07.01	17:20:00	17:34:00	0:14:00		1.1	1.1	1.0615	0	7	3	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
332	Calibration run	2024.07.01	17:35:00	17:36:00	0:01:00		1.1	1.1	1.0615	0	7	3	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
333	Calibration run	2024.07.01	17:37:00	17:39:00	0:02:00		1.1	1.1	1.0615	0	7	3	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
334	Calibration run	2024.07.01	17:42:00	17:49:00	0:07:00		1.1	1.1	1.0615	0	7	3	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
335	Calibration run	2024.07.01	17:50:00	17:55:00	0:05:00		1.1	1.1	1.0615	0	7	3	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
339	Same until here	2024.07.01	19:08:00	19:23:00	0:15:00		1.1	1.1	1.0615	0	7	3	85	85	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	
340	F1 - x TOF checking run for ZvsA/Q	2024.07.01	19:24:00				1.1	1.0802	1.0398	0	190	190	1	0																	
341	F1 - x TOF checking run for ZvsA/Q	2024.07.01		20:00:00			1.1	1.0802	1.0398	0	190	190	1	0																	
																															
343	F1 checking	2024.07.02	10:15:00				2.9289	2.9289			190	190	85	85																	
345	F1 checking						2.9436	2.9436																							
346	F1 checking	2024.07.02	10:25	10:28:00	0:03:00		2.9465	2.9465			190	190	85	85																	
347	F1 checking	2024.07.02	10:30:00				2.9465	2.9465			190	190	85	85																	
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
375	(10B) 0.1T + Swinger	2024.07.02	16:28:00	16:29:00	0:01:00		1.3254	1.3254	1.3018		5	1	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	Beam dump (-130,210)
376	continue	2024.07.02	16:31:00	16:36:00	0:05:00		1.3254	1.3254	1.3018		5	1	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	Beam dump (-130,210)
377	continue	2024.07.02	16:36:00	16:39:00	0:03:00		1.3254	1.3254	1.3018		5	1	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	Beam dump (-130,210)
378	continue	2024.07.02	16:42:00	16:49:00	0:07:00		1.3254	1.3254	1.3018																						
379	Brho change	2024.07.02	16:53:00	16:56:00	0:03:00		1.2275	1.2275	1.149		5	1	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	Beam dump (-130,210)
380	Swinger, Q5, Q6 power off																														
381	swinger change	2024.07.02					1.2275	1.2275	1.149		5	1	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
																															
384	Still Primary beam coming at F3	2024.07.02		18:05:00																											
385		2024.07.02	18:08:00				1.1	1.1	0.9944		0	8	85	85																	
																															
390	F1 PPAC in	2024.07.02	18:44:00				1.22	1.1899	1.1045																						
391		2024.07.02	18:50																												
																															
																															
393		2024.07.03																													
394		2024.07.03																													
395	-54 mrad swinger	2024.07.03																													
396	SLit and Magnet setup	2024.07.03	11:02:00	11:11:00	0:09:00		1.3254	1.305	1.2805	0.024																					
397	D2 change	2024.07.03	11:14:00	11:17:00	0:03:00		1.3254	1.305		0.024																					
398	Af D2 Change	2024.07.03	11:20:00	11:26:00	0:06:00		1.3254	1.31	1.2805	0.024	190	190	3	0																	
399	(nope) Good run for Z vs A/Q calibariton	2024.07.03	11:31:00	11:38:00	0:07:00		1.3254	1.31	1.2805	0.024	44	40	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	bad correlation with F1 PPAC
400	continue	2024.07.03	11:42:00	11:46:00	0:04:00		1.3254	1.31	1.2805	0.024	44	40	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
401	F1 HV up (550)	2024.07.03	11:47:00	11:48:00	0:01:00		1.3254	1.31	1.2805	0.024	44	40	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
402	F1 HV up (560)	2024.07.03	11:58:00	12:08:00	0:10:00		1.3254	1.31	1.2805	0.024	44	40	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	F1 PPAC HV change during run : 560 -> 565
																															
																															
																															
																															
																															
																															
																															
446	(0.1T) PID hole calibration	2024.07.04	10:00:00	10:04:00	0:04:00	0.1 mm	1.1	1.0852	1.0452		3	1	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
447	0.5T, Brho tune, PID hole calib	2024.07.04	10:05:00	10:10:00	0:05:00	0.1 mm	1.1	1.0865	1.0452	0.046	3	1	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
448	(0.5T, 10B) PID hole calibration	2024.07.04	10:12:00	10:19:00	0:07:00	0.5 mm	1.1	1.0865	1.0452	0.046	4	0	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
449	continue	2024.07.04	10:21:00	10:24:00	0:03:00	0.5 mm	1.1	1.0865	1.0452	0.046	4	0	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
450	continue (F1 PPAC HV up)	2024.07.04	10:24:00	10:33:00	0:09:00	0.5 mm	1.1	1.0865	1.0452	0.046	4	0	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
451	continue	2024.07.04	10:38:00	10:42:00	0:04:00	0.5 mm	1.1	1.0865	1.0452	0.046	4	0	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
452	continue	2024.07.04	10:43:00	10:45:00	0:02:00	0.5 mm	1.1	1.0865	1.0452	0.046	4	0	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
453	Brho tune (D2 - 6Li)	2024.07.04	10:46:00	10:47:00	0:01:00	0.5 mm	1.1	1.0875	1.0478	0.046	4	0	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
454	continue - Brho tune	2024.07.04	10:48:00	10:50:00	0:02:00	0.5 mm	1.1	1.0875	1.0478	0.046	4	0	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
455	Brho tune (D1)	2024.07.04	10:53:00	10:59:00	0:06:00	0.5 mm	1.2	1.19	1.1587	0.034	4	0	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	D2 tune during the run
456	Brho tune	2024.07.04	11:01:00	11:04:00	0:03:00	0.5 mm	1.2	1.189	1.1587	0.034	25	21	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
457	continue	2024.07.04	11:07:00	11:16:00	0:09:00	0.5 mm	1.2	changing	1.1587	changing	25	21	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
458	6Li PID run - BD change	2024.07.04	11:16:00	11:17:00	0:01:00	0.5 mm	1.2	1.193	1.162	0.03	25	21	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
459	(6Li) PID run	2024.07.04	11:21:00	11:22:00	0:01:00	0.5 mm	1.2	1.193	1.162	0.03	25	21	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
460	continue	2024.07.04	11:23:00	11:34:00	0:11:00	0.5 mm	1.2	1.193	1.162	0.03	25	21	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
461	continue	2024.07.04	11:37:00	11:54:00	0:17:00	0.5 mm	1.2	1.193	1.162	0.03	25	21	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
462	continue	2024.07.04	11:56:00	12:02:00	0:06:00	0.5 mm	1.2	1.193	1.162	0.03	25	21	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
463	continue	2024.07.04	12:03:00	12:13:00	0:10:00	0.5 mm	1.2	1.193	1.162	0.03	25	21	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
464	continue	2024.07.04	12:16:00	12:28:00	0:12:00	0.5 mm	1.2	1.193	1.162	0.03	25	21	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
465	continue	2024.07.04	12:30:00	12:32:00	0:02:00	0.5 mm	1.2	1.193	1.162	0.03	25	21	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
466	continue	2024.07.04	12:33:00	12:36:00	0:03:00	0.5 mm	1.2	1.193	1.162	0.03	25	21	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
467	continue	2024.07.04	12:39:00	12:47:00	0:08:00	0.5 mm	1.2	1.193	1.162	0.03	25	21	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
468	continue	2024.07.04	12:55:00	13:04:00	0:09:00	0.5 mm	1.2	1.193	1.162	0.03	25	21	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
469	continue	2024.07.04	13:13:00	13:16:00	0:03:00	0.5 mm	1.2	1.193	1.162	0.03	25	21	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
470		2024.07.04				0.5 mm	1																								
471		2024.07.04				0.5 mm	1																								
472		2024.07.04				0.5 mm	1.1																								
473		2024.07.04				0.5 mm	1.2																								
474		2024.07.04				0.5 mm	1.2																								
475		2024.07.04				0.5 mm	1.2598																								
476		2024.07.04				0.5 mm	1.3																								
477		2024.07.04				0.5 mm	1.1	changing	0.9739	0																					
478	(0.5T 24Ne) Good run with higher Z	2024.07.04	14:23:00	14:26:00	0:03:00	0.5 mm	1.1	1.1003	0.9739	0	4	0	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
479	continue	2024.07.04	14:28:00			0.5 mm	1.1	1.1003	0.9739	0	4	0	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
480	continue	2024.07.04				0.5 mm	1.1	1.1003	0.9739	0	4	0	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
481	continue	2024.07.04				0.5 mm	1.1	1.1003	0.9739	0	4	0	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
482		2024.07.04				0.5 mm																									
483		2024.07.04				0.5 mm																									
484	(0.1T!!!) go back to 24Ne run...	2024.07.04				0.1 mm	1.1	1.1003	0.9739	0	4	0	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
485	Brho scanning start to remove high energy events	2024.07.04				0.1 mm																									
486	~Brho scanning	2024.07.04				0.1 mm																									
487	~Brho scanning	2024.07.04				0.1 mm	1.2																								
488	~Brho scanning	2024.07.04				0.1 mm	1.25																								
489	~Brho scanning	2024.07.04				0.1 mm	1.27																								
490	~Brho scanning	2024.07.04				0.1 mm	1.29																								
491	~Brho scanning	2024.07.04				0.1 mm	1.31																								
492	~Brho scanning	2024.07.04				0.1 mm	1.33																								
493	~Brho scanning	2024.07.04				0.1 mm	1.33	1.33	1.2543	0																					
494	~Brho scanning	2024.07.04				0.1 mm	1.35																								
495	~Brho scanning	2024.07.04				0.1 mm	1.34																								
496	Run with the best setting: 1.33	2024.07.04	16:22:00	16:40:00	0:18:00	0.1 mm	1.33	1.33	1.2543	0	4	0	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
497	continue (trigger changed)	2024.07.04	16:43:00	16:45:00	0:02:00	0.1 mm	1.33	1.33	1.2543	0	4	0	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
498	continue	2024.07.04	16:49:00	17:09:00	0:20:00	0.1 mm	1.33	1.33	1.2543	0	4	0	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
499	continue	2024.07.04	17:10:00	17:17:00	0:07:00	0.1 mm	1.33	1.33	1.2543	0	4	0	85	85	45	45	50	50	45	45	45	45	45	45	45	45	45	45	45	45	
